Type:Windows.ApplicationModel:DesignMode
Property:Windows.ApplicationModel.Activation:IContactVideoCallActivatedEventArgs:ServiceId:String:{get;}
Property:Windows.ApplicationModel.Activation:IContactVideoCallActivatedEventArgs:ServiceUserId:String:{get;}
Type:Windows.ApplicationModel.Activation:IDeviceActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IDeviceActivatedEventArgs:DeviceInformationId:String:{get;}
Property:Windows.ApplicationModel.Activation:IDeviceActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:IFileActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IFileActivatedEventArgs:Files:IReadOnlyList<IStorageItem>:{get;}
Property:Windows.ApplicationModel.Activation:IFileActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:IFileActivatedEventArgsWithNeighboringFiles
Property:Windows.ApplicationModel.Activation:IFileActivatedEventArgsWithNeighboringFiles:NeighboringFilesQuery:StorageFileQueryResult:{get;}
Type:Windows.ApplicationModel.Activation:IFileOpenPickerActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IFileOpenPickerActivatedEventArgs:FileOpenPickerUI:FileOpenPickerUI:{get;}
Type:Windows.ApplicationModel.Activation:IFileSavePickerActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IFileSavePickerActivatedEventArgs:FileSavePickerUI:FileSavePickerUI:{get;}
Type:Windows.ApplicationModel.Activation:ILaunchActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ILaunchActivatedEventArgs:Arguments:String:{get;}
Property:Windows.ApplicationModel.Activation:ILaunchActivatedEventArgs:TileId:String:{get;}
Type:Windows.ApplicationModel.Activation:ILockScreenCallActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ILockScreenCallActivatedEventArgs:CallUI:LockScreenCallUI:{get;}
Type:Windows.ApplicationModel.Activation:IPrelaunchActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IPrelaunchActivatedEventArgs:PrelaunchActivated:Boolean:{get;}
Type:Windows.ApplicationModel.Activation:IPrintTaskSettingsActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IPrintTaskSettingsActivatedEventArgs:Configuration:PrintTaskConfiguration:{get;}
