Type:Windows.ApplicationModel:DesignMode
Property:Windows.ApplicationModel.Activation:SearchActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Type:Windows.ApplicationModel.Activation:ShareTargetActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ShareTargetActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:ShareTargetActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:ShareTargetActivatedEventArgs:ShareOperation:ShareOperation:{get;}
Property:Windows.ApplicationModel.Activation:ShareTargetActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Type:Windows.ApplicationModel.Activation:SplashScreen
Event:Windows.ApplicationModel.Activation:SplashScreen:Dismissed:TypedEventHandler<SplashScreen,Object>
Property:Windows.ApplicationModel.Activation:SplashScreen:ImageLocation:Rect:{get;}
Type:Windows.ApplicationModel.Appointments:Appointment
Constructor:Windows.ApplicationModel.Appointments:Appointment:.ctor:Appointment:()
Property:Windows.ApplicationModel.Appointments:Appointment:AllDay:Boolean:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:BusyStatus:AppointmentBusyStatus:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:Details:String:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:Duration:TimeSpan:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:Invitees:IList<AppointmentInvitee>:{get;}
Property:Windows.ApplicationModel.Appointments:Appointment:Location:String:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:Organizer:AppointmentOrganizer:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:Recurrence:AppointmentRecurrence:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:Reminder:Nullable<TimeSpan>:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:Sensitivity:AppointmentSensitivity:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:StartTime:DateTimeOffset:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:Subject:String:{get;set;}
Property:Windows.ApplicationModel.Appointments:Appointment:Uri:Uri:{get;set;}
Type:Windows.ApplicationModel.Appointments:AppointmentBusyStatus
Field:Windows.ApplicationModel.Appointments:AppointmentBusyStatus:Busy:AppointmentBusyStatus
Field:Windows.ApplicationModel.Appointments:AppointmentBusyStatus:Free:AppointmentBusyStatus
Field:Windows.ApplicationModel.Appointments:AppointmentBusyStatus:OutOfOffice:AppointmentBusyStatus
Field:Windows.ApplicationModel.Appointments:AppointmentBusyStatus:Tentative:AppointmentBusyStatus
Field:Windows.ApplicationModel.Appointments:AppointmentBusyStatus:WorkingElsewhere:AppointmentBusyStatus
Type:Windows.ApplicationModel.Appointments:AppointmentDaysOfWeek
Field:Windows.ApplicationModel.Appointments:AppointmentDaysOfWeek:Friday:AppointmentDaysOfWeek
Field:Windows.ApplicationModel.Appointments:AppointmentDaysOfWeek:Monday:AppointmentDaysOfWeek
Field:Windows.ApplicationModel.Appointments:AppointmentDaysOfWeek:None:AppointmentDaysOfWeek
Field:Windows.ApplicationModel.Appointments:AppointmentDaysOfWeek:Saturday:AppointmentDaysOfWeek
Field:Windows.ApplicationModel.Appointments:AppointmentDaysOfWeek:Sunday:AppointmentDaysOfWeek
Field:Windows.ApplicationModel.Appointments:AppointmentDaysOfWeek:Thursday:AppointmentDaysOfWeek
Field:Windows.ApplicationModel.Appointments:AppointmentDaysOfWeek:Tuesday:AppointmentDaysOfWeek
Field:Windows.ApplicationModel.Appointments:AppointmentDaysOfWeek:Wednesday:AppointmentDaysOfWeek
Type:Windows.ApplicationModel.Appointments:AppointmentInvitee
Constructor:Windows.ApplicationModel.Appointments:AppointmentInvitee:.ctor:AppointmentInvitee:()
Property:Windows.ApplicationModel.Appointments:AppointmentInvitee:Address:String:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentInvitee:DisplayName:String:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentInvitee:Response:AppointmentParticipantResponse:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentInvitee:Role:AppointmentParticipantRole:{get;set;}
Type:Windows.ApplicationModel.Appointments:AppointmentManager
Method:Windows.ApplicationModel.Appointments:AppointmentManager:ShowAddAppointmentAsync:IAsyncOperation<String>:(AppointmentManager appointment|AppointmentManager selection)
Method:Windows.ApplicationModel.Appointments:AppointmentManager:ShowAddAppointmentAsync:IAsyncOperation<String>:(AppointmentManager appointment|AppointmentManager selection|AppointmentManager preferredPlacement)
Method:Windows.ApplicationModel.Appointments:AppointmentManager:ShowRemoveAppointmentAsync:IAsyncOperation<Boolean>:(AppointmentManager appointmentId|AppointmentManager selection)
Method:Windows.ApplicationModel.Appointments:AppointmentManager:ShowRemoveAppointmentAsync:IAsyncOperation<Boolean>:(AppointmentManager appointmentId|AppointmentManager selection|AppointmentManager preferredPlacement)
Method:Windows.ApplicationModel.Appointments:AppointmentManager:ShowRemoveAppointmentAsync:IAsyncOperation<Boolean>:(AppointmentManager appointmentId|AppointmentManager selection|AppointmentManager preferredPlacement|AppointmentManager instanceStartDate)
Method:Windows.ApplicationModel.Appointments:AppointmentManager:ShowReplaceAppointmentAsync:IAsyncOperation<String>:(AppointmentManager appointmentId|AppointmentManager appointment|AppointmentManager selection)
Method:Windows.ApplicationModel.Appointments:AppointmentManager:ShowReplaceAppointmentAsync:IAsyncOperation<String>:(AppointmentManager appointmentId|AppointmentManager appointment|AppointmentManager selection|AppointmentManager preferredPlacement)
Method:Windows.ApplicationModel.Appointments:AppointmentManager:ShowReplaceAppointmentAsync:IAsyncOperation<String>:(AppointmentManager appointmentId|AppointmentManager appointment|AppointmentManager selection|AppointmentManager preferredPlacement|AppointmentManager instanceStartDate)
Method:Windows.ApplicationModel.Appointments:AppointmentManager:ShowTimeFrameAsync:IAsyncAction:(AppointmentManager timeToShow|AppointmentManager duration)
Type:Windows.ApplicationModel.Appointments:AppointmentOrganizer
Constructor:Windows.ApplicationModel.Appointments:AppointmentOrganizer:.ctor:AppointmentOrganizer:()
Property:Windows.ApplicationModel.Appointments:AppointmentOrganizer:Address:String:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentOrganizer:DisplayName:String:{get;set;}
Type:Windows.ApplicationModel.Appointments:AppointmentParticipantResponse
Field:Windows.ApplicationModel.Appointments:AppointmentParticipantResponse:Accepted:AppointmentParticipantResponse
Field:Windows.ApplicationModel.Appointments:AppointmentParticipantResponse:Declined:AppointmentParticipantResponse
Field:Windows.ApplicationModel.Appointments:AppointmentParticipantResponse:None:AppointmentParticipantResponse
Field:Windows.ApplicationModel.Appointments:AppointmentParticipantResponse:Tentative:AppointmentParticipantResponse
Field:Windows.ApplicationModel.Appointments:AppointmentParticipantResponse:Unknown:AppointmentParticipantResponse
Type:Windows.ApplicationModel.Appointments:AppointmentParticipantRole
Field:Windows.ApplicationModel.Appointments:AppointmentParticipantRole:OptionalAttendee:AppointmentParticipantRole
Field:Windows.ApplicationModel.Appointments:AppointmentParticipantRole:RequiredAttendee:AppointmentParticipantRole
Field:Windows.ApplicationModel.Appointments:AppointmentParticipantRole:Resource:AppointmentParticipantRole
Type:Windows.ApplicationModel.Appointments:AppointmentRecurrence
Constructor:Windows.ApplicationModel.Appointments:AppointmentRecurrence:.ctor:AppointmentRecurrence:()
Property:Windows.ApplicationModel.Appointments:AppointmentRecurrence:Day:UInt32:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentRecurrence:DaysOfWeek:AppointmentDaysOfWeek:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentRecurrence:Interval:UInt32:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentRecurrence:Month:UInt32:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentRecurrence:Occurrences:Nullable<UInt32>:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentRecurrence:Unit:AppointmentRecurrenceUnit:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentRecurrence:Until:Nullable<DateTimeOffset>:{get;set;}
Property:Windows.ApplicationModel.Appointments:AppointmentRecurrence:WeekOfMonth:AppointmentWeekOfMonth:{get;set;}
Type:Windows.ApplicationModel.Appointments:AppointmentRecurrenceUnit
Field:Windows.ApplicationModel.Appointments:AppointmentRecurrenceUnit:Daily:AppointmentRecurrenceUnit
Field:Windows.ApplicationModel.Appointments:AppointmentRecurrenceUnit:Monthly:AppointmentRecurrenceUnit
Field:Windows.ApplicationModel.Appointments:AppointmentRecurrenceUnit:MonthlyOnDay:AppointmentRecurrenceUnit
Field:Windows.ApplicationModel.Appointments:AppointmentRecurrenceUnit:Weekly:AppointmentRecurrenceUnit
Field:Windows.ApplicationModel.Appointments:AppointmentRecurrenceUnit:Yearly:AppointmentRecurrenceUnit
Field:Windows.ApplicationModel.Appointments:AppointmentRecurrenceUnit:YearlyOnDay:AppointmentRecurrenceUnit
Type:Windows.ApplicationModel.Appointments:AppointmentSensitivity
Field:Windows.ApplicationModel.Appointments:AppointmentSensitivity:Private:AppointmentSensitivity
Field:Windows.ApplicationModel.Appointments:AppointmentSensitivity:Public:AppointmentSensitivity
Type:Windows.ApplicationModel.Appointments:AppointmentWeekOfMonth
Field:Windows.ApplicationModel.Appointments:AppointmentWeekOfMonth:First:AppointmentWeekOfMonth
Field:Windows.ApplicationModel.Appointments:AppointmentWeekOfMonth:Fourth:AppointmentWeekOfMonth
Field:Windows.ApplicationModel.Appointments:AppointmentWeekOfMonth:Last:AppointmentWeekOfMonth
Field:Windows.ApplicationModel.Appointments:AppointmentWeekOfMonth:Second:AppointmentWeekOfMonth
Field:Windows.ApplicationModel.Appointments:AppointmentWeekOfMonth:Third:AppointmentWeekOfMonth
Type:Windows.ApplicationModel.Appointments:IAppointmentParticipant
Property:Windows.ApplicationModel.Appointments:IAppointmentParticipant:Address:String:{get;set;}
Property:Windows.ApplicationModel.Appointments:IAppointmentParticipant:DisplayName:String:{get;set;}
Type:Windows.ApplicationModel.Appointments.AppointmentsProvider:AddAppointmentOperation
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:AddAppointmentOperation:AppointmentInformation:Appointment:{get;}
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:AddAppointmentOperation:DismissUI:Void:()
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:AddAppointmentOperation:ReportCanceled:Void:()
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:AddAppointmentOperation:ReportCompleted:Void:(AddAppointmentOperation itemId)
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:AddAppointmentOperation:ReportError:Void:(AddAppointmentOperation value)
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:AddAppointmentOperation:SourcePackageFamilyName:String:{get;}
Type:Windows.ApplicationModel.Appointments.AppointmentsProvider:AppointmentsProviderLaunchActionVerbs
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:AppointmentsProviderLaunchActionVerbs:AddAppointment:String:{get;}
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:AppointmentsProviderLaunchActionVerbs:RemoveAppointment:String:{get;}
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:AppointmentsProviderLaunchActionVerbs:ReplaceAppointment:String:{get;}
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:AppointmentsProviderLaunchActionVerbs:ShowTimeFrame:String:{get;}
Type:Windows.ApplicationModel.Appointments.AppointmentsProvider:RemoveAppointmentOperation
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:RemoveAppointmentOperation:AppointmentId:String:{get;}
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:RemoveAppointmentOperation:DismissUI:Void:()
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:RemoveAppointmentOperation:InstanceStartDate:Nullable<DateTimeOffset>:{get;}
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:RemoveAppointmentOperation:ReportCanceled:Void:()
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:RemoveAppointmentOperation:ReportCompleted:Void:()
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:RemoveAppointmentOperation:ReportError:Void:(RemoveAppointmentOperation value)
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:RemoveAppointmentOperation:SourcePackageFamilyName:String:{get;}
Type:Windows.ApplicationModel.Appointments.AppointmentsProvider:ReplaceAppointmentOperation
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:ReplaceAppointmentOperation:AppointmentId:String:{get;}
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:ReplaceAppointmentOperation:AppointmentInformation:Appointment:{get;}
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:ReplaceAppointmentOperation:DismissUI:Void:()
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:ReplaceAppointmentOperation:InstanceStartDate:Nullable<DateTimeOffset>:{get;}
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:ReplaceAppointmentOperation:ReportCanceled:Void:()
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:ReplaceAppointmentOperation:ReportCompleted:Void:(ReplaceAppointmentOperation itemId)
Method:Windows.ApplicationModel.Appointments.AppointmentsProvider:ReplaceAppointmentOperation:ReportError:Void:(ReplaceAppointmentOperation value)
Property:Windows.ApplicationModel.Appointments.AppointmentsProvider:ReplaceAppointmentOperation:SourcePackageFamilyName:String:{get;}
Type:Windows.ApplicationModel.Background:AlarmAccessStatus
Field:Windows.ApplicationModel.Background:AlarmAccessStatus:AllowedWithoutWakeupCapability:AlarmAccessStatus
Field:Windows.ApplicationModel.Background:AlarmAccessStatus:AllowedWithWakeupCapability:AlarmAccessStatus
Field:Windows.ApplicationModel.Background:AlarmAccessStatus:Denied:AlarmAccessStatus
Field:Windows.ApplicationModel.Background:AlarmAccessStatus:Unspecified:AlarmAccessStatus
Type:Windows.ApplicationModel.Background:AlarmApplicationManager
Method:Windows.ApplicationModel.Background:AlarmApplicationManager:GetAccessStatus:AlarmAccessStatus:()
Method:Windows.ApplicationModel.Background:AlarmApplicationManager:RequestAccessAsync:IAsyncOperation<AlarmAccessStatus>:()
Type:Windows.ApplicationModel.Background:BackgroundAccessStatus
Field:Windows.ApplicationModel.Background:BackgroundAccessStatus:AllowedMayUseActiveRealTimeConnectivity:BackgroundAccessStatus
Field:Windows.ApplicationModel.Background:BackgroundAccessStatus:AllowedWithAlwaysOnRealTimeConnectivity:BackgroundAccessStatus
Field:Windows.ApplicationModel.Background:BackgroundAccessStatus:Denied:BackgroundAccessStatus
Field:Windows.ApplicationModel.Background:BackgroundAccessStatus:Unspecified:BackgroundAccessStatus
Type:Windows.ApplicationModel.Background:BackgroundExecutionManager
Method:Windows.ApplicationModel.Background:BackgroundExecutionManager:GetAccessStatus:BackgroundAccessStatus:()
Method:Windows.ApplicationModel.Background:BackgroundExecutionManager:GetAccessStatus:BackgroundAccessStatus:(BackgroundExecutionManager applicationId)
Method:Windows.ApplicationModel.Background:BackgroundExecutionManager:RemoveAccess:Void:()
Method:Windows.ApplicationModel.Background:BackgroundExecutionManager:RemoveAccess:Void:(BackgroundExecutionManager applicationId)
Method:Windows.ApplicationModel.Background:BackgroundExecutionManager:RequestAccessAsync:IAsyncOperation<BackgroundAccessStatus>:()
Method:Windows.ApplicationModel.Background:BackgroundExecutionManager:RequestAccessAsync:IAsyncOperation<BackgroundAccessStatus>:(BackgroundExecutionManager applicationId)
Type:Windows.ApplicationModel.Background:BackgroundTaskBuilder
Constructor:Windows.ApplicationModel.Background:BackgroundTaskBuilder:.ctor:BackgroundTaskBuilder:()
Method:Windows.ApplicationModel.Background:BackgroundTaskBuilder:AddCondition:Void:(BackgroundTaskBuilder condition)
Property:Windows.ApplicationModel.Background:BackgroundTaskBuilder:CancelOnConditionLoss:Boolean:{get;set;}
Property:Windows.ApplicationModel.Background:BackgroundTaskBuilder:Name:String:{get;set;}
Method:Windows.ApplicationModel.Background:BackgroundTaskBuilder:Register:BackgroundTaskRegistration:()
Method:Windows.ApplicationModel.Background:BackgroundTaskBuilder:SetTrigger:Void:(BackgroundTaskBuilder trigger)
